en,es,,,
Choose Language,Elegir idioma,,,
About Slick,Acerca de Slick,,,
Slick was developed by,Slick fue desarrollado por,,,
and designed and commissioned by,y diseñado y encargado por,,,
International Fisheries Conservation Project and,Proyecto Internacional de Conservación de Pesquerías y,,,
with support from,con el apoyo de,,,
and the,y el,,,
which is funded by,financiado por,,,
and implemented by the,y aplicada por la,,,
The prototype figure designs were developed by,Los diseños de las figuras prototipo fueron desarrollados por,,,
Slick is under going further development. All feedback is welcome. Please contact,Slick está en fase de desarrollo. Todos los comentarios son bienvenidos. Contacte con,,,
with any comments or suggestions for further development.,con cualquier comentario o propuesta para seguir mejorando.,,,
Overall,En general,,,
By Operating Model,Por modelo operativo,,,
All performance indicators are defined such that higher values mean better performance and lower values mean worse performance.,Todos los indicadores de rendimiento se definen de tal manera que los valores más altos significan mejor rendimiento y los valores más bajos,,,
Results can also be shown as violin plots by selecting the button on the right.,Los resultados también pueden mostrarse como gráficos de violín seleccionando el botón de la derecha.,,,
"Violin plots are similar to boxplots, except that they also show the probability density of data at different values. The width of the violin plot indicates the proportion of data points that are in each region of the plot; i.e., wide areas of the plot indicate a relatively large number of data points in that region, while narrow areas of the plot indicate few data points. The plots extend the full range of the data values.","Los gráficos de violín son similares a los gráficos de caja, salvo que también muestran la densidad de probabilidad de los datos en diferentes valores. La anchura del gráfico de violín indica la proporción de puntos de datos que hay en cada región del gráfico; es decir, las zonas anchas del gráfico indican un número relativamente elevado de puntos de datos en esa región, mientras que las zonas estrechas del gráfico indican pocos puntos de datos. Los gráficos abarcan todo el rango de valores de los datos.",,,
Reading this Chart,Lectura de este gráfico,,,
This chart compares the performance of ,Este gráfico compara el rendimiento de ,,,
 management procedures (MP) across , los procedimientos de gestión (MP) en todos ,,,
 operating models., los modelos operativos.,,,
 management procedures (MP) for , los procedimientos de gestión (MP) para ,,,
Reset Defaults,Restablecer valores predeterminados,,,
Management Procedures,Procedimientos de gestión,,,
Performance Indicators,Indicadores de rendimiento,,,
Global MP Settings,Ajustes globales de MP,,,
Operating Models,Modelos operativos,,,
These Management Procedure settings will apply to all plots.,Estos ajustes del procedimiento de gestión se aplicarán a todos los gráficos.,,,
MPs that are deselected here will not be displayed in any plots.,Los MP no seleccionados aquí no se mostrarán en ningún gráfico.,,,
The MP Color Settings will change the colors of the MPs in all plots.,Los ajustes de color de los MP cambiarán los colores de los MP en todos los gráficos.,,,
Apply Global MP Filter,Aplicar el filtro global de MP,,,
Please load a Slick object,Cargue un objeto Slick,,,
Welcome to Slick,Le damos la bienvenida a Slick,,,
